食物名称,热量
"
饼干
",热量：435 大卡(每100克)
"
蛋糕(黄蛋糕)
",热量：320 大卡(每100克)
"
薄荷松仁粽子糖
",热量：406 大卡(每100克)
"
巧克力，又叫朱古力
",热量：589 大卡(每100克)
"
冰淇淋，又叫冰激凌、雪糕
",热量：127 大卡(每100克)
"
红薯干，又叫地瓜干，甘薯干
",热量：338 大卡(每100克)
"
培根汉堡（夹熏肉，奶酪，加调料酱）
",热量：311 大卡(每100克)
"
绿豆饼（少糖少油）
",热量：122 大卡(每100克)
"
苏打饼干
",热量：408 大卡(每100克)
"
麻花
",热量：527 大卡(每100克)
"
奶油蛋糕
",热量：379 大卡(每100克)
"
佳梅 真之话梅
",热量：180 大卡(每100克)
"
月饼(豆沙)
",热量：411 大卡(每100克)
"
山楂果丹皮
",热量：326 大卡(每100克)
"
蛋糕
",热量：348 大卡(每100克)
"
沙琪玛蛋酥
",热量：506 大卡(每100克)
"
单层汉堡（单层肉饼，无调料酱）
",热量：316 大卡(每100克)
"
绿豆糕
",热量：351 大卡(每100克)
"
西式蛋糕
",热量：316 大卡(每100克)
"
野澤 猴肉（腊梅味） 
",热量：295 大卡(每100克)
"
山楂球
",热量：371 大卡(每100克)
"
德芙 香浓黑巧克力
",热量：542 大卡(每100克)
"
夹心酥饼
",热量：482 大卡(每100克)
"
月饼(五仁)
",热量：424 大卡(每100克)
"
锅巴（豆香）
",热量：528 大卡(每100克)
"
锅巴（小米）
",热量：554 大卡(每100克)
"
薯片（烧烤味）
",热量：548 大卡(每100克)
"
冰棍
",热量：47 大卡(每100克)
"
板油酥饼
",热量：360 大卡(每100克)
"
巧克力(维夫)，又叫朱古力威化
",热量：575 大卡(每100克)
"
奶糖
",热量：407 大卡(每100克)
"
曲奇饼
",热量：546 大卡(每100克)
"
蛋糕（巧克力）
",热量：437 大卡(每100克)
"
奶油饼干
",热量：431 大卡(每100克)
"
酥皮糕点
",热量：429 大卡(每100克)
"
和路雪绿豆妹妹冰棍
",热量：120 大卡(每100克)
"
面包条（白）
",热量：283 大卡(每100克)
"
肯德基 薯条
",热量：298 大卡(每100克)
"
爆米花
",热量：387 大卡(每100克)
"
桃酥
",热量：483 大卡(每100克)
"
时兴隆鱿鱼丝
",热量：333 大卡(每100克)
"
百乐宝 巧克力雪糕
",热量：174 大卡(每100克)
"
大雪糕
",热量：74 大卡(每100克)
"
饼干（苏打夹心）
",热量：463 大卡(每100克)
"
好丽友 蛋黄派[注心蛋黄派]
",热量：448 大卡(每100克)
"
和路雪 红豆冰棍 
",热量：91 大卡(每100克)
"
牛奶糖
",热量：435 大卡(每100克)
"
太平 梳打饼干海苔口味
",热量：485 大卡(每100克)
"
鸡汁味干脆面（面饼+调味料）
",热量：505 大卡(每100克)
"
蚕豆(炸)，又叫开花豆、胡豆、夏豆、罗汉豆
",热量：447 大卡(每100克)
"
巧克力（黑），又叫黑巧克力
",热量：516 大卡(每100克)
"
曲奇饼（加奶油）
",热量：526 大卡(每100克)
"
酥香兰花豆
",热量：419 大卡(每100克)
"
金色传奇鱿鱼丝（原味）
",热量：345 大卡(每100克)
"
麦当劳 薯条
",热量：242 大卡(每100克)
"
雪米饼
",热量：463 大卡(每100克)
"
蛋糕（水果）
",热量：347 大卡(每100克)
"
酥糖
",热量：436 大卡(每100克)
"
水晶糖
",热量：395 大卡(每100克)
"
海苔
",热量：270 大卡(每100克)
"
麦当劳 脆薯饼
",热量：308 大卡(每100克)
"
维维嚼益嚼（葡萄干+花生）
",热量：411 大卡(每100克)
"
驴打滚
",热量：198 大卡(每100克)
"
达能 佳钙牛奶甜酥饼干牛奶口味
",热量：468 大卡(每100克)
"
牛奶饼干
",热量：408 大卡(每100克)
"
可康 果冻条（苦瓜味）
",热量：92 大卡(每100克)
"
旺旺雪饼（香辣味）
",热量：400 大卡(每100克)
"
薯片（香辣味）
",热量：555 大卡(每100克)
"
冰淇凌（脆皮甜筒）
",热量：158 大卡(每100克)
"
饼干（咸）
",热量：496 大卡(每100克)
"
月饼(枣泥)
",热量：427 大卡(每100克)
"
吉百利怡口莲
",热量：416 大卡(每100克)
