食物,热量,链接
鸡蛋，又叫鸡子、鸡卵、蛋,热量：144 大卡(每100克),http://www.boohee.com/shiwu/jidan_junzhi
猪小排，又叫排骨、猪排,热量：278 大卡(每100克),http://www.boohee.com/shiwu/zhuxiaopai
鸡（土鸡，家养),热量：124 大卡(每100克),http://www.boohee.com/shiwu/ji_tuji_jiayang
鸡（母鸡，一年内）,热量：256 大卡(每100克),http://www.boohee.com/shiwu/muji_yiniannei
鸡（肉鸡，肥）,热量：389 大卡(每100克),http://www.boohee.com/shiwu/rouji_fei
鸭肉，又叫鸭子、鹜肉、家凫肉,热量：240 大卡(每100克),http://www.boohee.com/shiwu/ya_junzhi
猪蹄，又叫猪脚、猪手、猪蹄爪,热量：260 大卡(每100克),http://www.boohee.com/shiwu/zhuti
螃蟹（河蟹），又叫螃蟹、毛蟹、稻蟹、中华绒螯蟹、横行介士、无肠公子,热量：103 大卡(每100克),http://www.boohee.com/shiwu/hexie
猪肉(瘦)，又叫猪精肉，瘦肉,热量：143 大卡(每100克),http://www.boohee.com/shiwu/zhurou_shou
鸡蛋（煮），又叫水煮蛋，白煮蛋，煮蛋，煮鸡蛋,热量：151 大卡(每100克),http://www.boohee.com/shiwu/jidan_zhu
鸡蛋白（鸡蛋清），又叫鸡蛋白、鸡蛋清、蛋清、蛋白,热量：60 大卡(每100克),http://www.boohee.com/shiwu/jidanbai_jidanqing
火腿肠,热量：212 大卡(每100克),http://www.boohee.com/shiwu/huotuichang
鸡胸脯肉，又叫鸡柳肉、鸡里脊肉、鸡胸、鸡胸肉,热量：133 大卡(每100克),http://www.boohee.com/shiwu/jixiongfurou
牛肉（牛腩），又叫腹部肉,热量：332 大卡(每100克),http://www.boohee.com/shiwu/niurou_fuburou
荷包蛋（油煎），又叫荷包蛋、煎蛋、煎荷包蛋、煎鸡蛋,热量：199 大卡(每100克),http://www.boohee.com/shiwu/hebaodan_youjian
咸鸭蛋，又叫盐蛋、腌蛋、味蛋,热量：190 大卡(每100克),http://www.boohee.com/shiwu/xianyadan
猪肉(肥瘦)，又叫豕肉、彘肉,热量：395 大卡(每100克),http://www.boohee.com/shiwu/zhurou_feishou
瓦罐鸡汤（含料）,热量：190 大卡(每100克),http://www.boohee.com/shiwu/waguanjitang_rou
瓦罐鸡汤（无料）,热量：27 大卡(每100克),http://www.boohee.com/shiwu/waguanjitang_tang
猪小排（良杂猪）,热量：351 大卡(每100克),http://www.boohee.com/shiwu/zhuxiaopai_liangzazhu
松花蛋(鸡蛋)，又叫皮蛋、变蛋、彩蛋、碱蛋、泥蛋,热量：178 大卡(每100克),http://www.boohee.com/shiwu/songhuadan_jidan
猪肉(奶脯)，又叫软五花、奶脯、五花肉,热量：349 大卡(每100克),http://www.boohee.com/shiwu/zhurou_naifu
猪大排，又叫猪排,热量：264 大卡(每100克),http://www.boohee.com/shiwu/zhudapai
牛肉(肥瘦)，又叫肥牛,热量：125 大卡(每100克),http://www.boohee.com/shiwu/niurou_feishou
牛肉(里脊)，又叫牛里脊,热量：107 大卡(每100克),http://www.boohee.com/shiwu/niurou_liji
松花蛋(鸭蛋)，又叫皮蛋,热量：171 大卡(每100克),http://www.boohee.com/shiwu/songhuadan_yadan
草鱼，又叫鲩鱼、混子、草鲩、草包鱼、草根鱼、草青、白鲩,热量：113 大卡(每100克),http://www.boohee.com/shiwu/caoyu
鸡蛋(土鸡),热量：138 大卡(每100克),http://www.boohee.com/shiwu/jidan_tuji
鸡蛋（白皮）,热量：138 大卡(每100克),http://www.boohee.com/shiwu/jidan_baipi
鸡蛋(红皮),热量：156 大卡(每100克),http://www.boohee.com/shiwu/jidan_hongpi
酸奶,热量：72 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_junzhi
牛奶，又叫纯牛奶，牛乳,热量：54 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_junzhi
奶酪，又叫乳酪、芝士、起司、计司,热量：328 大卡(每100克),http://www.boohee.com/shiwu/nailao
酸奶（中脂）,热量：64 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_zhongzhi
酸奶（脱脂）,热量：57 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_tuozhi
脱脂奶粉,热量：356 大卡(每100克),http://www.boohee.com/shiwu/tuozhinaifen
酸奶（调味）,热量：88 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_diaowei
光明 鲜牛奶，又叫光明鲜奶、光明牛奶,热量：60 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_guangmingpai
酸奶(果料)，又叫果料酸奶,热量：67 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_guoliao
酸奶（果粒）,热量：97 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_guoli
小米粥,热量：46 大卡(每100克),http://www.boohee.com/shiwu/xiaomizhou
马铃薯，又叫土豆、洋芋、地蛋、山药蛋、洋番薯,热量：81 大卡(每100克),http://www.boohee.com/shiwu/malingshu
包子（猪肉馅）,热量：227 大卡(每100克),http://www.boohee.com/shiwu/baozi_zhurouxian
米饭，又叫大米饭，饭,热量：116 大卡(每100克),http://www.boohee.com/shiwu/mifan_zheng
白薯，又叫山芋、红皮山芋，地瓜、甘薯,热量：106 大卡(每100克),http://www.boohee.com/shiwu/ganshu_baixin
大米，又叫稻米、米、生米,热量：346 大卡(每100克),http://www.boohee.com/shiwu/daomi_junzhi
全麦面包，又叫全麦面包、全麦吐司、全麦面包片,热量：246 大卡(每100克),http://www.boohee.com/shiwu/maipeimianbao
烙饼,热量：259 大卡(每100克),http://www.boohee.com/shiwu/laobing_biaozhunfen
花卷,热量：214 大卡(每100克),http://www.boohee.com/shiwu/huajuan
油条,热量：388 大卡(每100克),http://www.boohee.com/shiwu/youtiao
Easy Fun 紫薯营养粥,热量：317 大卡(每100克),http://www.boohee.com/shiwu/fdd9b123
白粥（粳米），又叫稀饭，大米粥，白米粥，米粥,热量：46 大卡(每100克),http://www.boohee.com/shiwu/jingmizhou
白粥（籼米），又叫稀饭，大米粥，白米粥,热量：59 大卡(每100克),http://www.boohee.com/shiwu/xianmizhou
玉米（鲜），又叫苞谷、珍珠米、棒子、玉蜀黍、苞米、六谷,热量：112 大卡(每100克),http://www.boohee.com/shiwu/yumi_xian
燕麦片，又叫燕麦,热量：338 大卡(每100克),http://www.boohee.com/shiwu/yanmaipian
面条（生），又叫面,热量：301 大卡(每100克),http://www.boohee.com/shiwu/miantiao_junzhi
面条（煮），又叫面,热量：110 大卡(每100克),http://www.boohee.com/shiwu/miantiao_fuqiangfen_zhu
籼米粉，又叫米线、米粉、粉,热量：356 大卡(每100克),http://www.boohee.com/shiwu/xianmifen
面包,热量：313 大卡(每100克),http://www.boohee.com/shiwu/mianbao_junzhi
红薯，又叫地瓜、番薯、甘薯,热量：90 大卡(每100克),http://www.boohee.com/shiwu/ganshu_hongxin
